control_id,domain,source_standard,source_requirement,applicable,asset,test_method,authorization_needed,status,evidence_reference,finding_id,limitation,reviewer_notes
V1-01,V1 Encoding and Sanitization,ASVS 5.0,Output encoding contextual no frontend (categoria; requisito exato não verificado),sim,client React,revisão de código (grep sinks),não,CONTROLE VALIDADO,AUD-CV-10,,,"React escapa por padrão; sem dangerouslySetInnerHTML/innerHTML/eval"
V1-02,V1 Encoding and Sanitization,ASVS 5.0,Escape em templates de e-mail,sim,server mail.ts,revisão de código,não,CONTROLE VALIDADO,AUD-CV-17,,,escapeHtml em nome/link
V1-03,V1 Encoding and Sanitization,ASVS 5.0,Escape de metacaracteres em consultas dinâmicas (regex),sim,server controllers de listagem,teste local T05/T15,sim (conta demo local),FALHA,audit-evidence T05 T15,AUD-006,,"500 com '('; sem limite de tamanho"
V2-01,V2 Validation and Business Logic,ASVS 5.0,Validação de esquema em toda entrada,sim,server validators (zod),revisão de código,não,CONTROLE VALIDADO,AUD-CV-07,,,"tipos estritos; strictQuery"
V2-02,V2 Validation and Business Logic,ASVS 5.0,Campos internos não atribuíveis pelo cliente (mass assignment),sim,client.validators avatarUrl,teste local T08,sim,FALHA,audit-evidence T08,AUD-009,,
V2-03,V2 Validation and Business Logic,ASVS 5.0,Operações financeiras atômicas/idempotentes,sim,billing.ts applyPaymentById,revisão de código,não,FALHA (PROVÁVEL),billing.ts,AUD-007,"sem credenciais do Mercado Pago para teste dinâmico",
V2-04,V2 Validation and Business Logic,ASVS 5.0,Limites de valores numéricos,sim,validators finance/goal/client,revisão de código,não,CONTROLE VALIDADO,validators,,,"min/max presentes; sem limite superior de amount (aceitável)"
V3-01,V3 Web Frontend Security,ASVS 5.0,Cabeçalhos de segurança no HTML (CSP frame-ancestors etc.),sim,SPA na Vercel,revisão de configuração (vercel.json),não,FALHA (PROVÁVEL),vercel.json,AUD-011,produção não observada,
V3-02,V3 Web Frontend Security,ASVS 5.0,Cookies com HttpOnly/Secure/SameSite,sim,auth.controller setAuthCookie,teste local T03 + código,sim,CONTROLE VALIDADO,audit-evidence T03,AUD-013,"Secure só verificável em produção",
V3-03,V3 Web Frontend Security,ASVS 5.0,Proteção CSRF em defesa em profundidade,sim,API mutações,revisão de código,não,PARCIAL,auth.controller/app.ts,AUD-013,,"apenas SameSite=Lax"
V3-04,V3 Web Frontend Security,ASVS 5.0,Sem segredos/mapas de código no bundle,sim,client/dist,inspeção de build,não,CONTROLE VALIDADO,AUD-CV-10,,,"sem .map; só VITE_API_URL"
V3-05,V3 Web Frontend Security,ASVS 5.0,Comportamento em logout/dispositivo compartilhado,sim,client db clearLocalData,revisão de código,não,PARCIAL,client/src/db/index.ts,AUD-018,,"dados locais persistem até logout"
V4-01,V4 API and Web Service,ASVS 5.0,Autenticação em todos os endpoints de dados,sim,routes/index.ts,teste local T08 (anônimo 401) + código,sim,CONTROLE VALIDADO,audit-evidence T08,,,
V4-02,V4 API and Web Service,ASVS 5.0,CORS restritivo,sim,app.ts CORS,teste local T02/T02b,não,PARCIAL,audit-evidence T02,AUD-012,,localhost sempre permitido
V4-03,V4 API and Web Service,ASVS 5.0,Webhooks assinados e limitados,sim,/api/billing/webhook,teste local T11 + código,não,PARCIAL,audit-evidence T11,AUD-015,,segredo opcional
V4-04,V4 API and Web Service,ASVS 5.0,Limites de tamanho de requisição,sim,express.json/multer,teste local T14,não,CONTROLE VALIDADO,audit-evidence T14,AUD-018,,"rejeita 200 kB (com 500 em vez de 413)"
